contract_id,target_local_start_timestamp,target_local_end_timestamp,tariff_name,charge_type,price
04_02_111_CHR14,2022-12-01T00:00:00.000Z,2023-03-03T00:00:00.000Z,Digital Electric,buy,0.3182
04_02_111_CHR14,2023-03-03T00:00:00.000Z,2024-07-01T00:00:00.000Z,Electric Pro,buy,0.2086
04_02_111_CHR14,2024-07-01T00:00:00.000Z,2024-10-20T00:00:00.000Z,Business Electric,buy,0.4377
04_02_111_CHR14,2024-10-20T00:00:00.000Z,2024-11-30T00:00:00.000Z,Electric Optim,buy,0.2357
04_02_111_CHR14,2024-11-30T00:00:00.000Z,2025-01-01T00:00:00.000Z,Digital Electric,buy,0.1729
04_02_111_CHR14,2022-12-01T00:00:00.000Z,2023-03-03T00:00:00.000Z,SState,sell,0.1277
04_02_111_CHR14,2023-03-03T00:00:00.000Z,2024-07-01T00:00:00.000Z,SState,sell,0.0838
04_02_111_CHR14,2024-07-01T00:00:00.000Z,2024-10-20T00:00:00.000Z,EctoGrid,sell,0.0947
04_02_111_CHR14,2024-10-20T00:00:00.000Z,2024-11-30T00:00:00.000Z,OpCom,sell,0.0696
04_02_111_CHR14,2024-11-30T00:00:00.000Z,2025-01-01T00:00:00.000Z,EctoGrid,sell,0.1212
10_01_147_CHR,2022-12-01T00:00:00.000Z,2023-03-03T00:00:00.000Z,Electric Pro,buy,0.1924
10_01_147_CHR,2023-03-03T00:00:00.000Z,2024-07-01T00:00:00.000Z,Electric Optim,buy,0.2117
10_01_147_CHR,2024-07-01T00:00:00.000Z,2024-10-20T00:00:00.000Z,Electric Loyalty,buy,0.425
10_01_147_CHR,2024-10-20T00:00:00.000Z,2024-11-30T00:00:00.000Z,Business Electric,buy,0.2872
10_01_147_CHR,2024-11-30T00:00:00.000Z,2025-01-01T00:00:00.000Z,Electric Pro,buy,0.1815
10_01_147_CHR,2022-12-01T00:00:00.000Z,2023-02-12T00:00:00.000Z,SState,sell,0.0976
10_01_147_CHR,2023-02-12T00:00:00.000Z,2024-05-01T00:00:00.000Z,SState,sell,0.0822
10_01_147_CHR,2024-05-01T00:00:00.000Z,2024-08-10T00:00:00.000Z,SState,sell,0.0684
10_01_147_CHR,2024-08-10T00:00:00.000Z,2024-09-18T00:00:00.000Z,EctoGrid,sell,0.059
10_01_147_CHR,2024-09-18T00:00:00.000Z,2024-10-18T00:00:00.000Z,OpCom,sell,0.0936
10_01_147_CHR,2024-10-18T00:00:00.000Z,2024-11-19T00:00:00.000Z,EctoGrid,sell,0.0665
10_01_147_CHR,2024-11-19T00:00:00.000Z,2024-12-09T00:00:00.000Z,OpCom,sell,0.0988
10_01_147_CHR,2024-12-09T00:00:00.000Z,2025-01-01T00:00:00.000Z,OpCom,sell,0.0423
10_01_147_OR01,2022-12-01T00:00:00.000Z,2023-03-03T00:00:00.000Z,Digital Electric,buy,0.1815
10_01_147_OR01,2023-03-03T00:00:00.000Z,2024-07-01T00:00:00.000Z,Electric Pro,buy,0.151
10_01_147_OR01,2024-07-01T00:00:00.000Z,2024-10-20T00:00:00.000Z,Eco Electric,buy,0.1541
10_01_147_OR01,2024-10-20T00:00:00.000Z,2024-11-30T00:00:00.000Z,Electric Optim,buy,0.2434
10_01_147_OR01,2024-11-30T00:00:00.000Z,2025-01-01T00:00:00.000Z,Electric Optim,buy,0.2225
10_01_147_OR01,2022-12-01T00:00:00.000Z,2023-02-16T00:00:00.000Z,EctoGrid,sell,0.0749
10_01_147_OR01,2023-02-16T00:00:00.000Z,2024-05-19T00:00:00.000Z,SState,sell,0.0916
10_01_147_OR01,2024-05-19T00:00:00.000Z,2024-08-31T00:00:00.000Z,SState,sell,0.1051
10_01_147_OR01,2024-08-31T00:00:00.000Z,2024-10-09T00:00:00.000Z,EctoGrid,sell,0.0518
10_01_147_OR01,2024-10-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,EctoGrid,sell,0.0981
10_01_147_OR01,2024-11-09T00:00:00.000Z,2024-12-11T00:00:00.000Z,EctoGrid,sell,0.0892
10_01_147_OR01,2024-12-11T00:00:00.000Z,2025-01-01T00:00:00.000Z,SState,sell,0.0575
04_02_111_CHR07,2022-12-01T00:00:00.000Z,2023-02-16T00:00:00.000Z,Business Electric,buy,0.1164
04_02_111_CHR07,2023-02-16T00:00:00.000Z,2024-05-19T00:00:00.000Z,Electric Optim,buy,0.1232
04_02_111_CHR07,2024-05-19T00:00:00.000Z,2024-08-31T00:00:00.000Z,Electric Loyalty,buy,0.4171
04_02_111_CHR07,2024-08-31T00:00:00.000Z,2024-10-09T00:00:00.000Z,Electric Optim,buy,0.1762
04_02_111_CHR07,2024-10-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,Electric Constant,buy,0.1039
04_02_111_CHR07,2024-11-09T00:00:00.000Z,2024-12-11T00:00:00.000Z,Electric Constant,buy,0.1607
04_02_111_CHR07,2024-12-11T00:00:00.000Z,2025-01-01T00:00:00.000Z,Electric Pro,buy,0.2181
04_02_111_CHR07,2022-12-01T00:00:00.000Z,2023-06-12T00:00:00.000Z,EctoGrid,sell,0.0746
04_02_111_CHR07,2023-06-12T00:00:00.000Z,2025-01-01T00:00:00.000Z,OpCom,sell,0.102
10_01_147_CHR54,2022-12-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,Digital Electric,buy,0.2641
10_01_147_CHR54,2022-12-01T00:00:00.000Z,2023-03-15T00:00:00.000Z,SState,sell,0.0877
10_01_147_CHR54,2023-03-15T00:00:00.000Z,2024-08-25T00:00:00.000Z,OpCom,sell,0.0818
10_01_147_CHR54,2024-08-25T00:00:00.000Z,2025-01-01T00:00:00.000Z,EctoGrid,sell,0.0562
04_02_111_CHS01,2022-12-01T00:00:00.000Z,2023-03-03T00:00:00.000Z,Eco Electric,buy,0.1519
04_02_111_CHS01,2023-03-03T00:00:00.000Z,2024-07-01T00:00:00.000Z,Digital Electric,buy,0.2181
04_02_111_CHS01,2024-07-01T00:00:00.000Z,2024-10-20T00:00:00.000Z,Electric Pro,buy,0.2034
04_02_111_CHS01,2024-10-20T00:00:00.000Z,2024-11-30T00:00:00.000Z,Electric Optim,buy,0.1394
04_02_111_CHS01,2024-11-30T00:00:00.000Z,2025-01-01T00:00:00.000Z,Electric Loyalty,buy,0.4067
04_02_111_CHS01,2022-12-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,SState,sell,0.0736
04_02_111_CHR11,2022-12-01T00:00:00.000Z,2023-02-16T00:00:00.000Z,Electric Loyalty,buy,0.4347
04_02_111_CHR11,2023-02-16T00:00:00.000Z,2024-06-04T00:00:00.000Z,Digital Electric,buy,0.1723
04_02_111_CHR11,2024-06-04T00:00:00.000Z,2024-09-19T00:00:00.000Z,Business Electric,buy,0.4005
04_02_111_CHR11,2024-09-19T00:00:00.000Z,2024-10-29T00:00:00.000Z,Eco Electric,buy,0.1862
04_02_111_CHR11,2024-10-29T00:00:00.000Z,2024-11-29T00:00:00.000Z,Digital Electric,buy,0.1591
04_02_111_CHR11,2024-11-29T00:00:00.000Z,2025-01-01T00:00:00.000Z,Electric Constant,buy,0.2058
04_02_111_CHR11,2022-12-01T00:00:00.000Z,2023-06-12T00:00:00.000Z,SState,sell,0.0761
04_02_111_CHR11,2023-06-12T00:00:00.000Z,2025-01-01T00:00:00.000Z,SState,sell,0.0557
10_01_147_CHR14,2022-12-01T00:00:00.000Z,2023-06-12T00:00:00.000Z,Electric Optim,buy,0.2648
10_01_147_CHR14,2023-06-12T00:00:00.000Z,2025-01-01T00:00:00.000Z,Electric Constant,buy,0.1774
10_01_147_CHR14,2022-12-01T00:00:00.000Z,2023-03-15T00:00:00.000Z,EctoGrid,sell,0.0884
10_01_147_CHR14,2023-03-15T00:00:00.000Z,2024-08-25T00:00:00.000Z,SState,sell,0.1047
10_01_147_CHR14,2024-08-25T00:00:00.000Z,2025-01-01T00:00:00.000Z,OpCom,sell,0.0643
04_02_111_CHR30,2022-12-01T00:00:00.000Z,2023-03-03T00:00:00.000Z,Business Electric,buy,0.1858
04_02_111_CHR30,2023-03-03T00:00:00.000Z,2024-07-29T00:00:00.000Z,Business Electric,buy,0.2124
04_02_111_CHR30,2024-07-29T00:00:00.000Z,2024-11-18T00:00:00.000Z,Digital Electric,buy,0.1782
04_02_111_CHR30,2024-11-18T00:00:00.000Z,2025-01-01T00:00:00.000Z,Eco Electric,buy,0.1
04_02_111_CHR30,2022-12-01T00:00:00.000Z,2023-02-16T00:00:00.000Z,OpCom,sell,0.0776
04_02_111_CHR30,2023-02-16T00:00:00.000Z,2024-06-04T00:00:00.000Z,EctoGrid,sell,0.0451
04_02_111_CHR30,2024-06-04T00:00:00.000Z,2024-09-19T00:00:00.000Z,EctoGrid,sell,0.1054
04_02_111_CHR30,2024-09-19T00:00:00.000Z,2024-10-29T00:00:00.000Z,OpCom,sell,0.0852
04_02_111_CHR30,2024-10-29T00:00:00.000Z,2024-11-29T00:00:00.000Z,SState,sell,0.1071
04_02_111_CHR30,2024-11-29T00:00:00.000Z,2025-01-01T00:00:00.000Z,SState,sell,0.1043
