contract_id,target_local_start_timestamp,target_local_end_timestamp,tariff_name,charge_type,price
04_02_111_CHR13,2022-12-01T00:00:00.000Z,2023-02-16T00:00:00.000Z,Eco Electric,buy,0.1464
04_02_111_CHR13,2023-02-16T00:00:00.000Z,2024-05-19T00:00:00.000Z,Electric Optim,buy,0.233
04_02_111_CHR13,2024-05-19T00:00:00.000Z,2024-08-31T00:00:00.000Z,Digital Electric,buy,0.1652
04_02_111_CHR13,2024-08-31T00:00:00.000Z,2024-10-09T00:00:00.000Z,Electric Constant,buy,0.2459
04_02_111_CHR13,2024-10-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,Business Electric,buy,0.1048
04_02_111_CHR13,2024-11-09T00:00:00.000Z,2024-12-11T00:00:00.000Z,Electric Constant,buy,0.1956
04_02_111_CHR13,2024-12-11T00:00:00.000Z,2025-01-01T00:00:00.000Z,Electric Pro,buy,0.165
04_02_111_CHR13,2022-12-01T00:00:00.000Z,2023-03-03T00:00:00.000Z,EctoGrid,sell,0.0429
04_02_111_CHR13,2023-03-03T00:00:00.000Z,2024-07-01T00:00:00.000Z,OpCom,sell,0.0814
04_02_111_CHR13,2024-07-01T00:00:00.000Z,2024-10-20T00:00:00.000Z,EctoGrid,sell,0.079
04_02_111_CHR13,2024-10-20T00:00:00.000Z,2024-11-30T00:00:00.000Z,OpCom,sell,0.0825
04_02_111_CHR13,2024-11-30T00:00:00.000Z,2025-01-01T00:00:00.000Z,SState,sell,0.0633
10_01_147_CHR19,2022-12-01T00:00:00.000Z,2023-03-15T00:00:00.000Z,Electric Constant,buy,0.1538
10_01_147_CHR19,2023-03-15T00:00:00.000Z,2024-08-25T00:00:00.000Z,Electric Constant,buy,0.1062
10_01_147_CHR19,2024-08-25T00:00:00.000Z,2025-01-01T00:00:00.000Z,Electric Constant,buy,0.2024
10_01_147_CHR19,2022-12-01T00:00:00.000Z,2023-03-03T00:00:00.000Z,OpCom,sell,0.0556
10_01_147_CHR19,2023-03-03T00:00:00.000Z,2024-07-29T00:00:00.000Z,SState,sell,0.1162
10_01_147_CHR19,2024-07-29T00:00:00.000Z,2024-11-18T00:00:00.000Z,OpCom,sell,0.0466
10_01_147_CHR19,2024-11-18T00:00:00.000Z,2025-01-01T00:00:00.000Z,OpCom,sell,0.0745
10_01_147_CHR31,2022-12-01T00:00:00.000Z,2023-06-12T00:00:00.000Z,Eco Electric,buy,0.2169
10_01_147_CHR31,2023-06-12T00:00:00.000Z,2025-01-01T00:00:00.000Z,Electric Pro,buy,0.2137
10_01_147_CHR31,2022-12-01T00:00:00.000Z,2023-02-16T00:00:00.000Z,OpCom,sell,0.0713
